epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2094.84,1.02899,0.54634,0.86265,0.91926,0.85961,0.91985,0.60257,0.83163,0.49297,0.91673,0.0009035,0.0009035,0.0009035
58,2121.95,1.0252,0.54775,0.86536,0.89546,0.82952,0.90523,0.59492,0.89924,0.49767,0.95283,0.000897313,0.000897313,0.000897313
59,2149.44,1.02651,0.54501,0.86071,0.93734,0.81644,0.91154,0.60296,0.84238,0.50547,0.92029,0.000891125,0.000891125,0.000891125
60,2177.58,1.02762,0.55093,0.86116,0.88805,0.83369,0.89964,0.5874,0.87543,0.50571,0.97898,0.000884938,0.000884938,0.000884938
61,2205.19,1.0145,0.54,0.86653,0.87191,0.8352,0.89149,0.59592,0.78655,0.51285,0.89612,0.00087875,0.00087875,0.00087875
62,2232.54,1.01469,0.53378,0.85987,0.90443,0.83111,0.89763,0.57805,0.83048,0.46878,0.89562,0.000872563,0.000872563,0.000872563
63,2261.48,1.02242,0.5449,0.86673,0.87206,0.8292,0.88224,0.57924,0.95878,0.59053,1.0005,0.000866375,0.000866375,0.000866375
64,2290.95,1.00507,0.53284,0.86072,0.93085,0.82075,0.89886,0.60728,0.77472,0.43055,0.8735,0.000860188,0.000860188,0.000860188
65,2319.31,1.00491,0.52474,0.85934,0.87624,0.85754,0.90396,0.58153,0.8012,0.4637,0.87649,0.000854,0.000854,0.000854
66,2347.22,0.99879,0.52821,0.85481,0.85366,0.88708,0.91539,0.59638,0.89191,0.49018,0.91557,0.000847813,0.000847813,0.000847813
67,2374.69,1.00956,0.53253,0.86327,0.90055,0.83712,0.89749,0.6025,0.80285,0.5086,0.89397,0.000841625,0.000841625,0.000841625
68,2402.67,0.99667,0.52611,0.85701,0.88339,0.81301,0.88289,0.58259,0.77978,0.50068,0.87889,0.000835438,0.000835438,0.000835438
69,2429.97,0.99293,0.52844,0.85884,0.91684,0.87544,0.9252,0.60478,0.77419,0.43157,0.87417,0.00082925,0.00082925,0.00082925
70,2456.82,0.9904,0.52722,0.85981,0.92163,0.82635,0.91339,0.61203,0.82676,0.45889,0.92826,0.000823063,0.000823063,0.000823063
71,2483.94,0.97692,0.51549,0.85238,0.921,0.84736,0.92514,0.62952,0.78899,0.44675,0.88503,0.000816875,0.000816875,0.000816875
