epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,130.768,1.13627,0.99329,1.02181,0.87225,0.33085,0.39341,0.23247,1.28378,1.03972,0.94885,0.000321875,0.000321875,0.000321875
77,132.081,1.07426,0.88518,0.96997,0.87647,0.33529,0.3902,0.22763,1.3168,1.0468,0.95397,0.0003095,0.0003095,0.0003095
78,133.754,1.17111,0.84425,0.9522,0.85311,0.32936,0.38401,0.22439,1.31754,1.04416,0.9548,0.000297125,0.000297125,0.000297125
79,135.533,1.00959,0.79866,0.95284,0.85623,0.3213,0.38172,0.22622,1.29759,1.03841,0.95329,0.00028475,0.00028475,0.00028475
80,137.003,1.22908,0.92971,0.95534,0.75204,0.33557,0.38958,0.23235,1.27899,1.03138,0.95251,0.000272375,0.000272375,0.000272375
81,138.124,1.07126,0.88651,1.00605,0.42208,0.38204,0.39408,0.23233,1.27337,1.01815,0.95121,0.00026,0.00026,0.00026
82,139.311,1.02393,0.82805,0.95948,0.48023,0.40759,0.39788,0.23013,1.28936,0.99883,0.95367,0.000247625,0.000247625,0.000247625
83,140.503,1.05514,0.82442,0.95313,0.49373,0.39851,0.39804,0.22781,1.29132,0.98864,0.95183,0.00023525,0.00023525,0.00023525
84,141.673,1.19983,0.99157,1.0451,0.46877,0.39675,0.3949,0.22605,1.29067,0.99929,0.95006,0.000222875,0.000222875,0.000222875
85,142.792,1.07479,0.81868,0.96195,0.4259,0.38085,0.38336,0.22304,1.29636,1.01396,0.95186,0.0002105,0.0002105,0.0002105
86,143.926,1.03284,0.8472,0.99223,0.39613,0.37582,0.38575,0.22046,1.30869,1.03503,0.95634,0.000198125,0.000198125,0.000198125
87,145.063,1.00275,0.75126,0.90855,0.41702,0.41737,0.38909,0.22117,1.31914,1.03583,0.95753,0.00018575,0.00018575,0.00018575
88,146.456,1.02201,0.78371,0.93009,0.73258,0.3512,0.39182,0.22316,1.32059,1.03072,0.9592,0.000173375,0.000173375,0.000173375
89,148.166,0.95237,0.76422,0.91832,0.7933,0.3485,0.40605,0.23589,1.31277,1.01358,0.95701,0.000161,0.000161,0.000161
90,149.868,1.02249,0.79867,0.91523,0.46314,0.41844,0.41178,0.23861,1.30602,1.00755,0.95504,0.000148625,0.000148625,0.000148625
91,152.792,0.9731,0.80518,0.92431,0.78997,0.33017,0.40937,0.23731,1.30412,1.01053,0.95557,0.00013625,0.00013625,0.00013625
92,154.096,1.05227,0.84498,0.99048,0.82214,0.32804,0.40558,0.23695,1.30032,1.01355,0.95496,0.000123875,0.000123875,0.000123875
93,155.269,1.12177,1.14219,0.97346,0.4465,0.36682,0.40818,0.23652,1.29392,1.011,0.9529,0.0001115,0.0001115,0.0001115
94,156.377,0.98983,0.89089,0.98625,0.4361,0.38245,0.40331,0.22958,1.2903,1.02011,0.95155,9.9125e-05,9.9125e-05,9.9125e-05
95,157.589,1.09767,0.85969,0.97001,0.78884,0.34714,0.41423,0.23223,1.29383,1.01964,0.95256,8.675e-05,8.675e-05,8.675e-05
96,158.691,1.01486,0.84746,0.9509,0.81554,0.34725,0.41689,0.2295,1.29241,1.0206,0.95308,7.4375e-05,7.4375e-05,7.4375e-05
97,159.85,1.01023,0.78798,0.92771,0.81941,0.34519,0.41098,0.22936,1.29241,1.02041,0.95488,6.2e-05,6.2e-05,6.2e-05
98,161.118,0.94114,0.8115,0.91597,0.81495,0.34579,0.41297,0.22836,1.2926,1.02143,0.95487,4.9625e-05,4.9625e-05,4.9625e-05
99,162.794,0.90425,0.77884,0.93938,0.80588,0.34444,0.40532,0.22385,1.29113,1.02434,0.95528,3.725e-05,3.725e-05,3.725e-05
100,164.831,0.98046,0.8302,0.94189,0.55166,0.34806,0.40375,0.21972,1.28887,1.0223,0.95528,2.4875e-05,2.4875e-05,2.4875e-05
