epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2941.15,0.95546,0.49741,0.85965,0.94061,0.82944,0.92468,0.62072,0.96799,0.5137,1.06788,0.000736438,0.000736438,0.000736438
85,2967.63,0.9505,0.50133,0.85422,0.88979,0.87108,0.90803,0.60995,0.77622,0.41954,0.88021,0.00073025,0.00073025,0.00073025
86,2994.03,0.95465,0.49524,0.85554,0.9195,0.85291,0.92159,0.62252,0.7632,0.44462,0.87433,0.000724062,0.000724062,0.000724062
87,3020.87,0.95265,0.49573,0.85266,0.92251,0.82968,0.91027,0.62103,0.76409,0.40725,0.87138,0.000717875,0.000717875,0.000717875
88,3047.56,0.9492,0.49938,0.85574,0.93089,0.7882,0.89728,0.61461,0.75678,0.42674,0.88051,0.000711687,0.000711687,0.000711687
89,3073.86,0.95372,0.4985,0.8521,0.8835,0.8552,0.90812,0.61356,0.74904,0.41782,0.86693,0.0007055,0.0007055,0.0007055
90,3099.14,0.95341,0.50028,0.85608,0.89235,0.84806,0.91729,0.61196,0.80426,0.43719,0.89087,0.000699312,0.000699312,0.000699312
91,3125.69,0.95515,0.50101,0.85437,0.92167,0.88133,0.92312,0.62396,0.79014,0.43122,0.88224,0.000693125,0.000693125,0.000693125
92,3152.75,0.96665,0.49775,0.85257,0.95305,0.82872,0.91257,0.62385,0.76944,0.41,0.87042,0.000686937,0.000686937,0.000686937
93,3179.77,0.94643,0.48421,0.85706,0.95008,0.81577,0.91449,0.61418,0.77217,0.40575,0.87178,0.00068075,0.00068075,0.00068075
94,3206.4,0.93763,0.48867,0.84769,0.92314,0.8572,0.91891,0.62266,0.82812,0.53137,0.90672,0.000674562,0.000674562,0.000674562
95,3232.86,0.94617,0.49264,0.85632,0.92938,0.75917,0.87713,0.59004,0.80223,0.42764,0.88132,0.000668375,0.000668375,0.000668375
96,3258.46,0.94167,0.49404,0.85341,0.91782,0.85122,0.92123,0.6264,0.8244,0.44543,0.90174,0.000662188,0.000662188,0.000662188
97,3284.19,0.95996,0.497,0.85148,0.96235,0.80453,0.91875,0.62417,0.79263,0.39962,0.88237,0.000656,0.000656,0.000656
98,3310.6,0.93797,0.48118,0.85125,0.86034,0.85624,0.90333,0.60747,0.82558,0.47868,0.90161,0.000649813,0.000649813,0.000649813
99,3337.05,0.93355,0.48836,0.85073,0.93536,0.82262,0.90492,0.59691,0.83167,0.45748,0.90139,0.000643625,0.000643625,0.000643625
